Pathway,Total,Expected,Hits,P.Value,FDR
Regulation of peptidyl_tyrosine phosphorylation,171,1.56,19,1.06e-15,1.45e-14
Regulation of cell adhesion,294,2.67,23,1.93e-15,2.6e-14
Secretion by cell,831,7.56,35,8.74e-15,1.16e-13
Regulation of response to stimulus,3360,30.6,71,1.64e-14,2.14e-13
Exocytosis,309,2.81,22,5.88e-14,7.53e-13
Anatomical structure formation involved in morphogenesis,2090,19,54,6.9e-14,8.71e-13
Secretion,947,8.62,36,7.53e-14,9.36e-13
Positive regulation of cellular process,4780,43.5,85,8.11e-14,9.93e-13
Protein modification process,3290,30,69,8.8e-14,1.06e-12
Cellular response to stimulus,8010,72.9,112,1.31e-13,1.56e-12
Adenylate cyclase_inhibiting G_protein coupled receptor signaling pathway,45,0.409,11,1.8e-13,2.11e-12
Positive regulation of MAP kinase activity,197,1.79,18,1.97e-13,2.27e-12
Regulation of transport,1220,11.1,40,3e-13,3.42e-12
Vesicle_mediated transport,1110,10.1,38,3.4e-13,3.82e-12
Regulation of signal transduction,2440,22.2,57,6.67e-13,7.39e-12
Macromolecule modification,3430,31.2,69,7.25e-13,7.93e-12
Cyclic nucleotide metabolic process,164,1.49,16,1.7e-12,1.84e-11
Peptidyl_amino acid modification,739,6.72,30,2.74e-12,2.92e-11
Actin cytoskeleton organization,502,4.57,25,3.04e-12,3.2e-11
Positive regulation of biological process,5500,50,89,3.46e-12,3.59e-11
Adenylate cyclase_modulating G_protein coupled receptor signaling pathway,120,1.09,14,3.87e-12,3.97e-11
Immune system process,2720,24.7,59,5.33e-12,5.4e-11
Anatomical structure morphogenesis,2820,25.6,60,6.92e-12,6.92e-11
Regulation of endocytosis,128,1.16,14,9.46e-12,9.35e-11
Negative regulation of programmed cell death,691,6.29,28,1.76e-11,1.72e-10
Regulation of cellular component organization,1520,13.9,42,1.8e-11,1.74e-10
Regulation of cell migration,456,4.15,23,1.96e-11,1.87e-10
"G_protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",164,1.49,15,2.24e-11,2.11e-10
Vasculature development,652,5.93,27,2.63e-11,2.45e-10
Regulation of MAP kinase activity,272,2.47,18,4.66e-11,4.3e-10
Energy derivation by oxidation of organic compounds,437,3.98,22,5.87e-11,5.35e-10
Actin filament_based process,577,5.25,25,6.19e-11,5.58e-10
Negative regulation of apoptotic process,679,6.18,27,6.61e-11,5.83e-10
Negative regulation of apoptotic process,679,6.18,27,6.61e-11,5.83e-10
Positive regulation of immune system process,739,6.72,28,8.46e-11,7.38e-10
Cell_cell signaling,1310,11.9,37,2.04e-10,1.76e-09
Positive regulation of peptidyl_tyrosine phosphorylation,134,1.22,13,2.48e-10,2.12e-09
Purine ribonucleotide metabolic process,787,7.16,28,3.6e-10,3.04e-09
Axon guidance,394,3.58,20,4.16e-10,3.48e-09
Ribonucleotide metabolic process,805,7.32,28,6.01e-10,4.98e-09
Leukocyte activation,707,6.43,26,8.52e-10,6.99e-09
Adenylate cyclase_activating G_protein coupled receptor signaling pathway,53,0.482,9,1.02e-09,8.29e-09
Regulation of immune system process,1190,10.9,34,1.16e-09,9.31e-09
Tissue remodeling,126,1.15,12,1.56e-09,1.24e-08
Purine nucleotide metabolic process,844,7.68,28,1.74e-09,1.37e-08
Positive regulation of cell migration,263,2.39,16,2.05e-09,1.6e-08
Axonogenesis,578,5.26,23,2.09e-09,1.61e-08
Neuron projection development,816,7.42,27,3.81e-09,2.92e-08
Positive regulation of T cell activation,202,1.84,14,4.21e-09,3.2e-08
Generation of precursor metabolites and energy,603,5.49,23,4.68e-09,3.52e-08
Positive regulation of cellular component organization,560,5.1,22,6.2e-09,4.62e-08
Regulation of programmed cell death,1550,14.1,38,6.79e-09,5.02e-08
Positive regulation of transport,570,5.19,22,8.55e-09,6.26e-08
Angiogenesis,426,3.88,19,9.96e-09,7.23e-08
Neurogenesis,1390,12.7,35,1.61e-08,1.16e-07
Regulation of apoptotic process,1540,14,37,1.72e-08,1.23e-07
Cell proliferation,1900,17.3,42,1.74e-08,1.23e-07
Cellular protein metabolic process,4540,41.3,72,1.98e-08,1.39e-07
Insulin receptor signaling pathway,192,1.75,13,2.05e-08,1.42e-07
Protein autophosphorylation,192,1.75,13,2.05e-08,1.42e-07
Protein metabolic process,5570,50.7,82,2.08e-08,1.42e-07
