Pathway,Total,Expected,Hits,P.Value,FDR
Long-term depression,60,0.923,7,3.36e-05,0.000109
Jak-STAT signaling pathway,162,2.49,11,3.62e-05,0.000116
Vasopressin-regulated water reabsorption,44,0.677,6,5.11e-05,0.000162
Central carbon metabolism in cancer,65,1,7,5.68e-05,0.000179
Endocrine and other factor-regulated calcium reabsorption,48,0.738,6,8.45e-05,0.000263
Cocaine addiction,49,0.754,6,9.51e-05,0.000294
Hepatitis C,155,2.38,10,0.000128,0.00039
Pancreatic cancer,75,1.15,7,0.000143,0.000432
Pertussis,76,1.17,7,0.000155,0.000465
Complement and coagulation cascades,79,1.22,7,0.000198,0.000588
Aldosterone-regulated sodium reabsorption,37,0.569,5,0.000233,0.000685
Insulin resistance,108,1.66,8,0.000242,0.000705
Taste transduction,83,1.28,7,0.00027,0.000779
Fluid shear stress and atherosclerosis,139,2.14,9,0.000273,0.000782
Toxoplasmosis,113,1.74,8,0.00033,0.000936
Bladder cancer,41,0.631,5,0.000381,0.00107
Small cell lung cancer,93,1.43,7,0.000542,0.00151
mTOR signaling pathway,153,2.35,9,0.000554,0.00153
Type II diabetes mellitus,46,0.708,5,0.000655,0.0018
Inositol phosphate metabolism,74,1.14,6,0.000922,0.00248
Leishmaniasis,74,1.14,6,0.000922,0.00248
Epstein-Barr virus infection,201,3.09,10,0.00102,0.00272
Cellular senescence,160,2.46,8,0.00316,0.00837
