Pathway,Total,Expected,Hits,P.Value,FDR
ADP binding,23,1.43,8,4.57e-05,0.000311
RNA helicase activity,30,1.86,9,5.8e-05,0.000388
Protein N_terminus binding,86,5.34,16,6.86e-05,0.000451
Cysteine_type endopeptidase regulator activity involved in apoptotic process,45,2.8,11,7.23e-05,0.000468
Transcription corepressor activity,208,12.9,28,9.12e-05,0.00058
Protein binding transcription factor activity,600,37.3,61,9.48e-05,0.000593
Transcription cofactor activity,552,34.3,56,0.000193,0.00119
Hormone receptor binding,176,10.9,24,0.000232,0.00141
Growth factor binding,125,7.77,19,0.000252,0.00149
Cytokine receptor binding,266,16.5,32,0.000254,0.00149
RNA_dependent ATPase activity,22,1.37,7,0.000261,0.00151
MAP kinase activity,16,0.994,6,0.000264,0.00151
ATP_dependent DNA helicase activity,36,2.24,9,0.000272,0.00153
SH3/SH2 adaptor activity,52,3.23,11,0.000289,0.0016
Rho GTPase activator activity,39,2.42,9,0.000518,0.00283
Kinase inhibitor activity,51,3.17,10,0.00101,0.00541
Steroid hormone receptor binding,69,4.29,12,0.00102,0.00541
Ubiquitin_protein ligase activity,291,18.1,32,0.00121,0.00634
RNA polymerase activity,44,2.73,9,0.00131,0.00678
ATP_dependent RNA helicase activity,21,1.31,6,0.00137,0.007
Kinase regulator activity,144,8.95,19,0.00149,0.00751
Ubiquitin binding,63,3.92,11,0.00158,0.00779
Protein dimerization activity,996,61.9,85,0.00159,0.00779
DNA helicase activity,54,3.36,10,0.00161,0.00779
Small conjugating protein ligase activity,313,19.5,33,0.00206,0.00974
Small conjugating protein ligase activity,313,19.5,33,0.00206,0.00974
Protein kinase inhibitor activity,47,2.92,9,0.00213,0.0099
Small conjugating protein binding,75,4.66,12,0.00214,0.0099
MRNA binding,99,6.15,14,0.00316,0.0144
Protein homodimerization activity,573,35.6,52,0.0038,0.0172
Actin filament binding,71,4.41,11,0.00417,0.0186
Beta_tubulin binding,26,1.62,6,0.00446,0.0197
Cysteine_type endopeptidase activity,74,4.6,11,0.00575,0.0251
Unfolded protein binding,130,8.08,16,0.00673,0.0287
Nuclear hormone receptor binding,153,9.51,18,0.00674,0.0287
Insulin_like growth factor receptor binding,14,0.87,4,0.00898,0.0379
Protein kinase regulator activity,123,7.64,15,0.00926,0.0386
Growth factor activity,170,10.6,19,0.00938,0.0387
Structural constituent of muscle,49,3.05,8,0.01,0.041
Acid_amino acid ligase activity,349,21.7,33,0.0107,0.0431
Enzyme activator activity,436,27.1,39,0.014,0.0559
"Ligase activity, forming carbon_oxygen bonds",53,3.29,8,0.0159,0.0628
Protein heterodimerization activity,374,23.2,34,0.0167,0.0654
Telomeric DNA binding,17,1.06,4,0.0184,0.0714
Structural constituent of cytoskeleton,78,4.85,10,0.0222,0.0853
Ion binding,6140,382,411,0.0232,0.0884
Thyroid hormone receptor binding,29,1.8,5,0.0314,0.118
Protein deacetylase activity,39,2.42,6,0.0319,0.119
Cytoskeletal protein binding,738,45.9,58,0.0376,0.139
Integrin binding,86,5.34,10,0.0402,0.147
Nucleotidyltransferase activity,135,8.39,14,0.041,0.149
Calcium channel activity,111,6.9,12,0.0428,0.154
Ligase activity,572,35.6,46,0.0432,0.154
"Ligase activity, forming carbon_nitrogen bonds",393,24.4,33,0.0482,0.17
