,V1
80,PSR06007488.hg.1  
81,PSR06017432.hg.1  
82,PSR06019573.hg.1  
83,PSR06024777.hg.1  
84,PSR06024779.hg.1  
85,PSR06024783.hg.1  
86,PSR06035601.hg.1  
87,PSR06035602.hg.1  
88,PSR07002501.hg.1  
89,PSR07002506.hg.1  
90,PSR08004869.hg.1  
91,PSR08004870.hg.1  
92,PSR08004871.hg.1  
93,PSR08004872.hg.1  
94,PSR08004873.hg.1  
95,PSR08004875.hg.1  
96,PSR08004876.hg.1  
97,PSR08004877.hg.1  
98,PSR08004878.hg.1  
99,PSR08004879.hg.1  
100,PSR08024262.hg.1  
101,PSR08024263.hg.1  
102,PSR08024264.hg.1  
103,PSR08024265.hg.1  
104,PSR08024266.hg.1  
105,PSR08024267.hg.1  
106,PSR08024268.hg.1  
107,PSR09005120.hg.1  
108,PSR09016021.hg.1  
109,PSR09016022.hg.1  
110,PSR09016023.hg.1  
111,PSR09016029.hg.1  
112,PSR09016032.hg.1  
113,PSR09016038.hg.1  
114,PSR09016039.hg.1  
115,PSR09016040.hg.1  
116,PSR09016041.hg.1  
117,PSR09016042.hg.1  
118,PSR09016043.hg.1  
119,PSR09016047.hg.1  
120,PSR09016052.hg.1  
121,PSR09016053.hg.1  
122,PSR09016054.hg.1  
123,PSR09016055.hg.1  
124,PSR09020086.hg.1  
125,PSR0X005125.hg.1  
126,PSR0X005129.hg.1  
127,PSR0X005130.hg.1  
128,PSR0X005131.hg.1  
129,PSR0X005132.hg.1  
130,PSR0X005133.hg.1  
131,PSR0X005134.hg.1  
132,PSR0X005136.hg.1  
133,PSR0X005141.hg.1  
134,PSR0X005142.hg.1  
135,PSR0X005143.hg.1  
136,PSR0X005144.hg.1  
137,PSR0X005147.hg.1  
138,PSR0X005150.hg.1  
139,PSR0X005151.hg.1  
140,PSR0X005157.hg.1  
141,PSR0X005160.hg.1  
142,PSR0X005161.hg.1  
143,PSR0X005162.hg.1  
144,PSR0X005163.hg.1  
145,PSR10012480.hg.1  
146,PSR10012487.hg.1  
147,PSR10012490.hg.1  
148,PSR11002948.hg.1  
149,PSR11002950.hg.1  
150,PSR11002951.hg.1  
151,PSR11002952.hg.1  
152,PSR11013597.hg.1  
153,PSR11013599.hg.1  
154,PSR11017116.hg.1  
155,PSR11017833.hg.1  
156,PSR11017842.hg.1  
157,PSR11017844.hg.1  
158,PSR11027751.hg.1  
159,PSR11027752.hg.1  
160,PSR11027753.hg.1  
161,PSR11027754.hg.1  
162,PSR11027755.hg.1  
163,PSR11027756.hg.1  
164,PSR11027759.hg.1  
165,PSR11027760.hg.1  
166,PSR11027761.hg.1  
167,PSR11027762.hg.1  
168,PSR11027763.hg.1  
169,PSR11027766.hg.1  
170,PSR11027767.hg.1  
171,PSR11027768.hg.1  
172,PSR11027770.hg.1  
173,PSR11027771.hg.1  
174,PSR11027773.hg.1  
175,PSR11027775.hg.1  
176,PSR11032334.hg.1  
177,PSR11032410.hg.1  
178,PSR12005940.hg.1  
179,PSR12005954.hg.1  
180,PSR12005955.hg.1  
181,PSR12005956.hg.1  
182,PSR12005957.hg.1  
183,PSR12005959.hg.1  
184,PSR12005961.hg.1  
185,PSR12005963.hg.1  
186,PSR12005968.hg.1  
187,PSR12005970.hg.1  
188,PSR12005974.hg.1  
189,PSR12013086.hg.1  
190,PSR12019133.hg.1  
191,PSR12019135.hg.1  
192,PSR12019136.hg.1  
193,PSR12019137.hg.1  
194,PSR12019145.hg.1  
195,PSR12019147.hg.1  
196,PSR12019157.hg.1  
197,PSR12025168.hg.1  
198,PSR12025172.hg.1  
199,PSR12025173.hg.1  
200,PSR12025174.hg.1  
201,PSR12025176.hg.1  
202,PSR12025179.hg.1  
203,PSR12025180.hg.1  
204,PSR12025181.hg.1  
205,PSR12025182.hg.1  
206,PSR12025183.hg.1  
207,PSR12025184.hg.1  
208,PSR12025185.hg.1  
209,PSR12025187.hg.1  
210,PSR12025189.hg.1  
211,PSR12025190.hg.1  
212,PSR12025193.hg.1  
213,PSR12025194.hg.1  
214,PSR12025196.hg.1  
215,PSR12025197.hg.1  
216,PSR12025198.hg.1  
217,PSR12025199.hg.1  
218,PSR12025200.hg.1  
219,PSR12025201.hg.1  
220,PSR12025202.hg.1  
221,PSR12025203.hg.1  
222,PSR12025989.hg.1  
223,PSR12027056.hg.1  
224,PSR12029402.hg.1  
225,PSR12029403.hg.1  
226,PSR12029404.hg.1  
227,PSR12029406.hg.1  
228,PSR12029407.hg.1  
229,PSR12029408.hg.1  
230,PSR12029409.hg.1  
231,PSR12029410.hg.1  
232,PSR12029411.hg.1  
233,PSR12032706.hg.1  
234,PSR12032708.hg.1  
235,PSR12032710.hg.1  
236,PSR13000738.hg.1  
237,PSR13000744.hg.1  
238,PSR13000750.hg.1  
239,PSR13002704.hg.1  
240,PSR13010433.hg.1  
241,PSR14007792.hg.1  
242,PSR14007793.hg.1  
243,PSR14007794.hg.1  
244,PSR14007795.hg.1  
245,PSR14009911.hg.1  
246,PSR14009917.hg.1  
247,PSR14009928.hg.1  
248,PSR14009929.hg.1  
249,PSR15015209.hg.1  
250,PSR15015211.hg.1  
251,PSR15015214.hg.1  
252,PSR16011475.hg.1  
253,PSR16017879.hg.1  
254,PSR16017880.hg.1  
255,PSR16017881.hg.1  
256,PSR16017882.hg.1  
257,PSR16017883.hg.1  
258,PSR16017884.hg.1  
259,PSR16017885.hg.1  
260,PSR16017888.hg.1  
261,PSR16017889.hg.1  
262,PSR16017894.hg.1  
263,PSR16019784.hg.1  
264,PSR16019785.hg.1  
265,PSR16021739.hg.1  
266,PSR16021740.hg.1  
267,PSR16021741.hg.1  
268,PSR16021742.hg.1  
269,PSR16021743.hg.1  
270,PSR16021745.hg.1  
271,PSR16021748.hg.1  
272,PSR17005542.hg.1  
273,PSR17008078.hg.1  
274,PSR17013105.hg.1  
275,PSR17013106.hg.1  
276,PSR17013108.hg.1  
277,PSR17013109.hg.1  
278,PSR17013116.hg.1  
279,PSR17013117.hg.1  
280,PSR17013118.hg.1  
281,PSR17013120.hg.1  
282,PSR17013121.hg.1  
283,PSR17013122.hg.1  
284,PSR17013123.hg.1  
285,PSR17013125.hg.1  
286,PSR17013127.hg.1  
287,PSR17013128.hg.1  
288,PSR17013129.hg.1  
289,PSR17013131.hg.1  
290,PSR17013140.hg.1  
291,PSR17013141.hg.1  
292,PSR17013953.hg.1  
293,PSR17013955.hg.1  
294,PSR17013956.hg.1  
295,PSR17013958.hg.1  
296,PSR17016926.hg.1  
297,PSR17016928.hg.1  
298,PSR17024061.hg.1  
299,PSR18005234.hg.1  
300,PSR18005236.hg.1  
301,PSR18005593.hg.1  
302,PSR18005594.hg.1  
303,PSR18005595.hg.1  
304,PSR18005596.hg.1  
305,PSR18005600.hg.1  
306,PSR19000803.hg.1  
307,PSR19004762.hg.1  
308,PSR19013250.hg.1  
309,PSR19027720.hg.1  
310,PSR22012029.hg.1  
311,PSR22012031.hg.1  
312,PSR22012523.hg.1  
313,PSR22012525.hg.1  
314,PSR22012528.hg.1  
315,PSR22012538.hg.1  
316,PSR22012556.hg.1  
317,TC01000004.hg.1  
318,TC01000011.hg.1  
319,TC01000012.hg.1  
320,TC01000074.hg.1  
321,TC01000080.hg.1  
322,TC01000090.hg.1  
323,TC01000099.hg.1  
324,TC01000100.hg.1  
325,TC01000101.hg.1  
326,TC01000108.hg.1  
327,TC01000122.hg.1  
328,TC01000123.hg.1  
329,TC01000124.hg.1  
330,TC01000125.hg.1  
331,TC01000126.hg.1  
332,TC01000129.hg.1  
333,TC01000130.hg.1  
334,TC01000141.hg.1  
335,TC01000144.hg.1  
336,TC01000147.hg.1  
337,TC01000150.hg.1  
338,TC01000151.hg.1  
339,TC01000156.hg.1  
340,TC01000163.hg.1  
341,TC01000166.hg.1  
342,TC01000173.hg.1  
343,TC01000180.hg.1  
344,TC01000182.hg.1  
345,TC01000193.hg.1  
346,TC01000198.hg.1  
347,TC01000216.hg.1  
348,TC01000218.hg.1  
349,TC01000220.hg.1  
350,TC01000221.hg.1  
351,TC01000224.hg.1  
352,TC01000225.hg.1  
353,TC01000226.hg.1  
354,TC01000253.hg.1  
355,TC01000263.hg.1  
356,TC01000267.hg.1  
357,TC01000271.hg.1  
358,TC01000275.hg.1  
359,TC01000282.hg.1  
360,TC01000292.hg.1  
361,TC01000300.hg.1  
362,TC01000302.hg.1  
363,TC01000310.hg.1  
364,TC01000311.hg.1  
365,TC01000322.hg.1  
366,TC01000328.hg.1  
367,TC01000333.hg.1  
368,TC01000336.hg.1  
369,TC01000341.hg.1  
370,TC01000352.hg.1  
371,TC01000358.hg.1  
372,TC01000367.hg.1  
373,TC01000370.hg.1  
374,TC01000373.hg.1  
375,TC01000375.hg.1  
376,TC01000384.hg.1  
377,TC01000388.hg.1  
378,TC01000389.hg.1  
379,TC01000390.hg.1  
380,TC01000391.hg.1  
381,TC01000394.hg.1  
382,TC01000398.hg.1  
383,TC01000408.hg.1  
384,TC01000413.hg.1  
385,TC01000417.hg.1  
386,TC01000429.hg.1  
387,TC01000433.hg.1  
388,TC01000457.hg.1  
389,TC01000462.hg.1  
390,TC01000463.hg.1  
391,TC01000464.hg.1  
392,TC01000468.hg.1  
393,TC01000469.hg.1  
394,TC01000484.hg.1  
395,TC01000489.hg.1  
396,TC01000491.hg.1  
397,TC01000492.hg.1  
398,TC01000494.hg.1  
399,TC01000495.hg.1  
400,TC01000496.hg.1  
401,TC01000497.hg.1  
402,TC01000499.hg.1  
403,TC01000504.hg.1  
404,TC01000505.hg.1  
405,TC01000508.hg.1  
406,TC01000511.hg.1  
407,TC01000512.hg.1  
408,TC01000515.hg.1  
409,TC01000533.hg.1  
410,TC01000534.hg.1  
411,TC01000542.hg.1  
412,TC01000544.hg.1  
413,TC01000546.hg.1  
414,TC01000550.hg.1  
415,TC01000559.hg.1  
416,TC01000561.hg.1  
417,TC01000563.hg.1  
418,TC01000569.hg.1  
419,TC01000573.hg.1  
420,TC01000575.hg.1  
421,TC01000577.hg.1  
422,TC01000580.hg.1  
423,TC01000582.hg.1  
424,TC01000595.hg.1  
425,TC01000598.hg.1  
426,TC01000619.hg.1  
427,TC01000626.hg.1  
428,TC01000627.hg.1  
429,TC01000636.hg.1  
430,TC01000639.hg.1  
431,TC01000640.hg.1  
432,TC01000641.hg.1  
433,TC01000648.hg.1  
434,TC01000652.hg.1  
435,TC01000656.hg.1  
436,TC01000658.hg.1  
437,TC01000687.hg.1  
438,TC01000707.hg.1  
439,TC01000719.hg.1  
440,TC01000725.hg.1  
441,TC01000727.hg.1  
442,TC01000728.hg.1  
443,TC01000729.hg.1  
444,TC01000738.hg.1  
445,TC01000745.hg.1  
446,TC01000749.hg.1  
447,TC01000755.hg.1  
448,TC01000757.hg.1  
449,TC01000759.hg.1  
450,TC01000772.hg.1  
451,TC01000812.hg.1  
452,TC01000818.hg.1  
453,TC01000821.hg.1  
454,TC01000826.hg.1  
455,TC01000830.hg.1  
456,TC01000831.hg.1  
457,TC01000842.hg.1  
458,TC01000846.hg.1  
459,TC01000849.hg.1  
460,TC01000853.hg.1  
461,TC01000854.hg.1  
462,TC01000861.hg.1  
463,TC01000863.hg.1  
464,TC01000869.hg.1  
465,TC01000873.hg.1  
466,TC01000882.hg.1  
467,TC01000898.hg.1  
468,TC01000899.hg.1  
469,TC01000901.hg.1  
470,TC01000920.hg.1  
471,TC01000927.hg.1  
472,TC01000930.hg.1  
473,TC01000931.hg.1  
474,TC01000932.hg.1  
475,TC01000934.hg.1  
476,TC01000936.hg.1  
477,TC01000939.hg.1  
478,TC01000941.hg.1  
479,TC01000947.hg.1  
480,TC01000949.hg.1  
481,TC01000950.hg.1  
482,TC01000953.hg.1  
483,TC01000955.hg.1  
484,TC01000958.hg.1  
485,TC01000964.hg.1  
486,TC01000965.hg.1  
487,TC01000978.hg.1  
488,TC01000981.hg.1  
489,TC01000982.hg.1  
490,TC01000986.hg.1  
491,TC01000990.hg.1  
492,TC01000998.hg.1  
493,TC01000999.hg.1  
494,TC01001004.hg.1  
495,TC01001014.hg.1  
496,TC01001018.hg.1  
497,TC01001024.hg.1  
498,TC01001025.hg.1  
499,TC01001030.hg.1  
500,TC01001033.hg.1  
501,TC01001034.hg.1  
502,TC01001039.hg.1  
503,TC01001043.hg.1  
504,TC01001047.hg.1  
505,TC01001048.hg.1  
506,TC01001049.hg.1  
507,TC01001056.hg.1  
508,TC01001057.hg.1  
509,TC01001071.hg.1  
510,TC01001086.hg.1  
511,TC01001087.hg.1  
512,TC01001090.hg.1  
513,TC01001091.hg.1  
514,TC01001093.hg.1  
515,TC01001097.hg.1  
516,TC01001098.hg.1  
517,TC01001099.hg.1  
518,TC01001107.hg.1  
519,TC01001113.hg.1  
520,TC01001127.hg.1  
521,TC01001129.hg.1  
522,TC01001136.hg.1  
523,TC01001139.hg.1  
524,TC01001142.hg.1  
525,TC01001150.hg.1  
526,TC01001152.hg.1  
527,TC01001158.hg.1  
528,TC01001160.hg.1  
529,TC01001164.hg.1  
530,TC01001166.hg.1  
531,TC01001168.hg.1  
532,TC01001173.hg.1  
533,TC01001179.hg.1  
534,TC01001182.hg.1  
535,TC01001183.hg.1  
536,TC01001188.hg.1  
537,TC01001197.hg.1  
538,TC01001198.hg.1  
539,TC01001200.hg.1  
540,TC01001202.hg.1  
541,TC01001204.hg.1  
542,TC01001205.hg.1  
543,TC01001209.hg.1  
544,TC01001211.hg.1  
545,TC01001212.hg.1  
546,TC01001213.hg.1  
547,TC01001217.hg.1  
548,TC01001218.hg.1  
549,TC01001220.hg.1  
550,TC01001222.hg.1  
551,TC01001245.hg.1  
552,TC01001246.hg.1  
553,TC01001248.hg.1  
554,TC01001254.hg.1  
555,TC01001259.hg.1  
556,TC01001260.hg.1  
557,TC01001261.hg.1  
558,TC01001263.hg.1  
559,TC01001264.hg.1  
560,TC01001265.hg.1  
561,TC01001268.hg.1  
562,TC01001273.hg.1  
563,TC01001276.hg.1  
564,TC01001280.hg.1  
565,TC01001283.hg.1  
566,TC01001288.hg.1  
567,TC01001289.hg.1  
568,TC01001296.hg.1  
569,TC01001297.hg.1  
570,TC01001299.hg.1  
571,TC01001300.hg.1  
572,TC01001310.hg.1  
573,TC01001314.hg.1  
574,TC01001319.hg.1  
575,TC01001323.hg.1  
576,TC01001359.hg.1  
577,TC01001361.hg.1  
578,TC01001376.hg.1  
579,TC01001377.hg.1  
580,TC01001379.hg.1  
581,TC01001380.hg.1  
582,TC01001381.hg.1  
583,TC01001383.hg.1  
584,TC01001389.hg.1  
585,TC01001390.hg.1  
586,TC01001391.hg.1  
587,TC01001392.hg.1  
588,TC01001393.hg.1  
589,TC01001394.hg.1  
590,TC01001395.hg.1  
591,TC01001396.hg.1  
592,TC01001397.hg.1  
593,TC01001398.hg.1  
594,TC01001400.hg.1  
595,TC01001401.hg.1  
596,TC01001402.hg.1  
597,TC01001408.hg.1  
598,TC01001414.hg.1  
599,TC01001415.hg.1  
600,TC01001418.hg.1  
601,TC01001422.hg.1  
602,TC01001426.hg.1  
603,TC01001430.hg.1  
604,TC01001435.hg.1  
605,TC01001436.hg.1  
606,TC01001456.hg.1  
607,TC01001461.hg.1  
608,TC01001465.hg.1  
609,TC01001468.hg.1  
610,TC01001472.hg.1  
611,TC01001473.hg.1  
612,TC01001475.hg.1  
613,TC01001476.hg.1  
614,TC01001491.hg.1  
615,TC01001493.hg.1  
616,TC01001498.hg.1  
617,TC01001505.hg.1  
618,TC01001510.hg.1  
619,TC01001513.hg.1  
620,TC01001518.hg.1  
621,TC01001526.hg.1  
622,TC01001536.hg.1  
623,TC01001539.hg.1  
624,TC01001545.hg.1  
625,TC01001551.hg.1  
626,TC01001554.hg.1  
627,TC01001557.hg.1  
628,TC01001558.hg.1  
629,TC01001576.hg.1  
630,TC01001581.hg.1  
631,TC01001582.hg.1  
632,TC01001583.hg.1  
633,TC01001585.hg.1  
634,TC01001586.hg.1  
635,TC01001587.hg.1  
636,TC01001591.hg.1  
637,TC01001592.hg.1  
638,TC01001595.hg.1  
639,TC01001602.hg.1  
640,TC01001604.hg.1  
641,TC01001605.hg.1  
642,TC01001613.hg.1  
643,TC01001626.hg.1  
644,TC01001637.hg.1  
645,TC01001645.hg.1  
646,TC01001646.hg.1  
647,TC01001659.hg.1  
648,TC01001667.hg.1  
649,TC01001670.hg.1  
650,TC01001674.hg.1  
651,TC01001681.hg.1  
652,TC01001682.hg.1  
653,TC01001683.hg.1  
654,TC01001688.hg.1  
655,TC01001693.hg.1  
656,TC01001699.hg.1  
657,TC01001700.hg.1  
658,TC01001701.hg.1  
659,TC01001709.hg.1  
660,TC01001710.hg.1  
661,TC01001715.hg.1  
662,TC01001718.hg.1  
663,TC01001719.hg.1  
664,TC01001720.hg.1  
665,TC01001723.hg.1  
666,TC01001724.hg.1  
667,TC01001731.hg.1  
668,TC01001736.hg.1  
669,TC01001737.hg.1  
670,TC01001747.hg.1  
671,TC01001752.hg.1  
672,TC01001754.hg.1  
673,TC01001755.hg.1  
674,TC01001768.hg.1  
675,TC01001777.hg.1  
676,TC01001782.hg.1  
677,TC01001791.hg.1  
678,TC01001793.hg.1  
679,TC01001804.hg.1  
680,TC01001805.hg.1  
681,TC01001812.hg.1  
682,TC01001814.hg.1  
683,TC01001817.hg.1  
684,TC01001819.hg.1  
685,TC01001820.hg.1  
686,TC01001830.hg.1  
687,TC01001838.hg.1  
688,TC01001841.hg.1  
689,TC01001842.hg.1  
690,TC01001847.hg.1  
691,TC01001849.hg.1  
692,TC01001863.hg.1  
693,TC01001888.hg.1  
694,TC01001893.hg.1  
695,TC01001895.hg.1  
696,TC01001905.hg.1  
697,TC01001906.hg.1  
698,TC01001908.hg.1  
699,TC01001909.hg.1  
700,TC01001910.hg.1  
701,TC01001916.hg.1  
702,TC01001926.hg.1  
703,TC01001927.hg.1  
704,TC01001950.hg.1  
705,TC01001951.hg.1  
706,TC01001953.hg.1  
707,TC01001967.hg.1  
708,TC01001974.hg.1  
709,TC01001976.hg.1  
710,TC01001985.hg.1  
711,TC01001990.hg.1  
712,TC01002000.hg.1  
713,TC01002003.hg.1  
714,TC01002018.hg.1  
715,TC01002024.hg.1  
716,TC01002033.hg.1  
717,TC01002039.hg.1  
718,TC01002048.hg.1  
719,TC01002049.hg.1  
720,TC01002052.hg.1  
721,TC01002057.hg.1  
722,TC01002058.hg.1  
723,TC01002059.hg.1  
724,TC01002095.hg.1  
725,TC01002103.hg.1  
726,TC01002107.hg.1  
727,TC01002136.hg.1  
728,TC01002137.hg.1  
729,TC01002138.hg.1  
730,TC01002142.hg.1  
731,TC01002143.hg.1  
732,TC01002147.hg.1  
733,TC01002148.hg.1  
734,TC01002149.hg.1  
735,TC01002154.hg.1  
736,TC01002156.hg.1  
737,TC01002159.hg.1  
738,TC01002166.hg.1  
739,TC01002176.hg.1  
740,TC01002182.hg.1  
741,TC01002187.hg.1  
742,TC01002190.hg.1  
743,TC01002195.hg.1  
744,TC01002196.hg.1  
745,TC01002198.hg.1  
746,TC01002201.hg.1  
747,TC01002202.hg.1  
748,TC01002206.hg.1  
749,TC01002211.hg.1  
750,TC01002226.hg.1  
751,TC01002229.hg.1  
752,TC01002240.hg.1  
753,TC01002246.hg.1  
754,TC01002258.hg.1  
755,TC01002260.hg.1  
756,TC01002262.hg.1  
757,TC01002265.hg.1  
758,TC01002269.hg.1  
759,TC01002270.hg.1  
760,TC01002274.hg.1  
761,TC01002280.hg.1  
762,TC01002283.hg.1  
763,TC01002290.hg.1  
764,TC01002293.hg.1  
765,TC01002298.hg.1  
766,TC01002300.hg.1  
767,TC01002301.hg.1  
768,TC01002304.hg.1  
769,TC01002316.hg.1  
770,TC01002319.hg.1  
771,TC01002322.hg.1  
772,TC01002341.hg.1  
773,TC01002342.hg.1  
774,TC01002351.hg.1  
775,TC01002352.hg.1  
776,TC01002356.hg.1  
777,TC01002373.hg.1  
778,TC01002383.hg.1  
779,TC01002390.hg.1  
780,TC01002394.hg.1  
781,TC01002401.hg.1  
782,TC01002405.hg.1  
783,TC01002408.hg.1  
784,TC01002411.hg.1  
785,TC01002412.hg.1  
786,TC01002415.hg.1  
787,TC01002422.hg.1  
788,TC01002427.hg.1  
789,TC01002433.hg.1  
790,TC01002444.hg.1  
791,TC01002445.hg.1  
792,TC01002449.hg.1  
793,TC01002450.hg.1  
794,TC01002461.hg.1  
795,TC01002478.hg.1  
796,TC01002479.hg.1  
797,TC01002493.hg.1  
798,TC01002497.hg.1  
799,TC01002498.hg.1  
800,TC01002499.hg.1  
801,TC01002507.hg.1  
802,TC01002514.hg.1  
803,TC01002515.hg.1  
804,TC01002517.hg.1  
805,TC01002518.hg.1  
806,TC01002519.hg.1  
807,TC01002521.hg.1  
808,TC01002529.hg.1  
809,TC01002534.hg.1  
810,TC01002540.hg.1  
811,TC01002541.hg.1  
812,TC01002542.hg.1  
813,TC01002547.hg.1  
814,TC01002549.hg.1  
815,TC01002553.hg.1  
816,TC01002564.hg.1  
817,TC01002568.hg.1  
818,TC01002574.hg.1  
819,TC01002576.hg.1  
820,TC01002577.hg.1  
821,TC01002581.hg.1  
822,TC01002596.hg.1  
823,TC01002597.hg.1  
824,TC01002598.hg.1  
825,TC01002604.hg.1  
826,TC01002605.hg.1  
827,TC01002608.hg.1  
828,TC01002609.hg.1  
829,TC01002610.hg.1  
830,TC01002613.hg.1  
831,TC01002615.hg.1  
832,TC01002616.hg.1  
833,TC01002617.hg.1  
834,TC01002654.hg.1  
835,TC01002655.hg.1  
836,TC01002656.hg.1  
837,TC01002658.hg.1  
838,TC01002660.hg.1  
839,TC01002662.hg.1  
840,TC01002663.hg.1  
841,TC01002669.hg.1  
842,TC01002670.hg.1  
843,TC01002676.hg.1  
844,TC01002677.hg.1  
845,TC01002678.hg.1  
846,TC01002679.hg.1  
847,TC01002684.hg.1  
848,TC01002686.hg.1  
849,TC01002693.hg.1  
850,TC01002694.hg.1  
851,TC01002697.hg.1  
852,TC01002701.hg.1  
853,TC01002706.hg.1  
854,TC01002707.hg.1  
855,TC01002708.hg.1  
856,TC01002717.hg.1  
857,TC01002745.hg.1  
858,TC01002754.hg.1  
859,TC01002760.hg.1  
860,TC01002763.hg.1  
861,TC01002766.hg.1  
862,TC01002771.hg.1  
863,TC01002774.hg.1  
864,TC01002788.hg.1  
865,TC01002805.hg.1  
866,TC01002812.hg.1  
867,TC01002814.hg.1  
868,TC01002815.hg.1  
869,TC01002818.hg.1  
870,TC01002821.hg.1  
871,TC01002825.hg.1  
872,TC01002826.hg.1  
873,TC01002828.hg.1  
874,TC01002831.hg.1  
875,TC01002836.hg.1  
876,TC01002843.hg.1  
877,TC01002857.hg.1  
878,TC01002861.hg.1  
879,TC01002878.hg.1  
880,TC01002881.hg.1  
881,TC01002882.hg.1  
882,TC01002884.hg.1  
883,TC01002890.hg.1  
884,TC01002891.hg.1  
885,TC01002892.hg.1  
886,TC01002906.hg.1  
887,TC01002911.hg.1  
888,TC01002923.hg.1  
889,TC01002941.hg.1  
890,TC01002942.hg.1  
891,TC01002943.hg.1  
892,TC01002944.hg.1  
893,TC01002945.hg.1  
894,TC01002948.hg.1  
895,TC01002954.hg.1  
896,TC01002969.hg.1  
897,TC01002970.hg.1  
898,TC01002971.hg.1  
899,TC01002975.hg.1  
900,TC01002979.hg.1  
901,TC01002980.hg.1  
902,TC01002984.hg.1  
903,TC01002986.hg.1  
904,TC01002996.hg.1  
905,TC01002997.hg.1  
906,TC01003001.hg.1  
907,TC01003004.hg.1  
908,TC01003005.hg.1  
909,TC01003008.hg.1  
910,TC01003009.hg.1  
911,TC01003010.hg.1  
912,TC01003011.hg.1  
913,TC01003015.hg.1  
914,TC01003022.hg.1  
915,TC01003029.hg.1  
916,TC01003030.hg.1  
917,TC01003034.hg.1  
918,TC01003035.hg.1  
919,TC01003037.hg.1  
920,TC01003043.hg.1  
921,TC01003053.hg.1  
922,TC01003058.hg.1  
923,TC01003073.hg.1  
924,TC01003076.hg.1  
925,TC01003077.hg.1  
926,TC01003079.hg.1  
927,TC01003080.hg.1  
928,TC01003082.hg.1  
929,TC01003089.hg.1  
930,TC01003093.hg.1  
931,TC01003096.hg.1  
932,TC01003105.hg.1  
933,TC01003106.hg.1  
934,TC01003107.hg.1  
935,TC01003108.hg.1  
936,TC01003112.hg.1  
937,TC01003115.hg.1  
938,TC01003117.hg.1  
939,TC01003123.hg.1  
940,TC01003124.hg.1  
941,TC01003130.hg.1  
942,TC01003132.hg.1  
943,TC01003139.hg.1  
944,TC01003140.hg.1  
945,TC01003141.hg.1  
946,TC01003142.hg.1  
947,TC01003143.hg.1  
948,TC01003144.hg.1  
949,TC01003146.hg.1  
950,TC01003151.hg.1  
951,TC01003152.hg.1  
952,TC01003153.hg.1  
953,TC01003154.hg.1  
954,TC01003155.hg.1  
955,TC01003157.hg.1  
956,TC01003158.hg.1  
957,TC01003159.hg.1  
958,TC01003160.hg.1  
959,TC01003162.hg.1  
960,TC01003165.hg.1  
961,TC01003166.hg.1  
962,TC01003171.hg.1  
963,TC01003175.hg.1  
964,TC01003181.hg.1  
965,TC01003182.hg.1  
966,TC01003191.hg.1  
967,TC01003192.hg.1  
968,TC01003193.hg.1  
969,TC01003197.hg.1  
970,TC01003198.hg.1  
971,TC01003199.hg.1  
972,TC01003205.hg.1  
973,TC01003206.hg.1  
974,TC01003211.hg.1  
975,TC01003212.hg.1  
